epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.449,1.32816,1.49752,1.49451,0.7061,0.73936,0.74306,0.50804,1.18214,1.05825,1.62407,0.000664021,0.000664021,0.000664021
2,465.959,1.21047,1.05198,1.43211,0.72987,0.75715,0.76973,0.54041,1.1059,0.93217,1.54792,0.00130141,0.00130141,0.00130141
3,697.504,1.19798,1.03702,1.41577,0.73005,0.77209,0.78334,0.56272,1.10192,0.94672,1.56974,0.00190947,0.00190947,0.00190947
4,933.873,1.17726,1.02097,1.42259,0.69643,0.76347,0.74382,0.53305,1.06405,0.97465,1.59021,0.001868,0.001868,0.001868
5,1164.86,1.13189,0.94629,1.39075,0.72673,0.77476,0.79076,0.5765,1.05834,0.88497,1.56141,0.001824,0.001824,0.001824
6,1396.57,1.11732,0.94821,1.37389,0.74865,0.76347,0.8047,0.58319,1.0296,0.88261,1.53281,0.00178,0.00178,0.00178
7,1627.76,1.08607,0.90894,1.3645,0.72255,0.78569,0.78754,0.57855,1.01362,0.84271,1.4933,0.001736,0.001736,0.001736
8,1857.84,1.07549,0.87481,1.35125,0.75412,0.80286,0.82522,0.60621,0.99834,0.80713,1.48841,0.001692,0.001692,0.001692
9,2085.79,1.04179,0.83855,1.33054,0.75133,0.80003,0.81863,0.60906,0.99912,0.78135,1.51016,0.001648,0.001648,0.001648
10,2321.81,1.05434,0.84351,1.33624,0.75314,0.79865,0.8203,0.61554,0.97899,0.80269,1.51761,0.001604,0.001604,0.001604
11,2556.79,1.03136,0.81892,1.32665,0.75813,0.7725,0.81314,0.60813,0.99746,0.82065,1.48513,0.00156,0.00156,0.00156
12,2787.33,0.9963,0.80197,1.3126,0.75179,0.79402,0.81784,0.60947,0.99865,0.76357,1.5046,0.001516,0.001516,0.001516
13,3015.02,1.00984,0.80909,1.30621,0.76792,0.78764,0.82739,0.62568,0.95585,0.76259,1.45978,0.001472,0.001472,0.001472
14,3245.54,0.97974,0.7832,1.29455,0.77123,0.77928,0.8211,0.62477,0.95558,0.76746,1.46789,0.001428,0.001428,0.001428
15,3476.44,0.98674,0.77265,1.2971,0.77044,0.78248,0.8183,0.6162,0.97506,0.78096,1.43386,0.001384,0.001384,0.001384
16,3705.38,0.95201,0.75998,1.27173,0.79053,0.76049,0.82779,0.63292,0.9358,0.77647,1.44202,0.00134,0.00134,0.00134
17,3936.55,0.94672,0.74199,1.27427,0.77336,0.78785,0.82298,0.61873,0.95688,0.7759,1.47647,0.001296,0.001296,0.001296
18,4166.41,0.94104,0.73045,1.2866,0.80408,0.78062,0.83349,0.62792,0.96038,0.74769,1.43424,0.001252,0.001252,0.001252
